Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 92.63M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 50, with 93,401,088 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
step 0: train loss 9.3243, val loss 9.3273
iter 92: loss 7.7462, time 3079.28ms, mfu 34.26%
iter 93: loss 7.6199, time 3079.58ms, mfu 34.25%
iter 94: loss 7.6101, time 3079.75ms, mfu 34.25%
iter 95: loss 7.4578, time 3080.20ms, mfu 34.25%
iter 96: loss 7.6707, time 3078.47ms, mfu 34.25%
iter 97: loss 7.6645, time 3078.40ms, mfu 34.25%
iter 98: loss 7.6311, time 3080.10ms, mfu 34.24%
iter 99: loss 7.5875, time 3081.25ms, mfu 34.24%
iter 100: loss 7.5624, time 3078.53ms, mfu 34.24%
iter 101: loss 7.6108, time 3080.08ms, mfu 34.24%
iter 102: loss 7.6443, time 3080.14ms, mfu 34.24%
iter 103: loss 7.5518, time 3079.12ms, mfu 34.24%
iter 104: loss 7.6197, time 3079.41ms, mfu 34.23%
iter 105: loss 7.5696, time 3080.91ms, mfu 34.23%
iter 106: loss 7.4345, time 3081.93ms, mfu 34.23%
iter 107: loss 7.3781, time 3080.88ms, mfu 34.23%
iter 108: loss 7.4648, time 3079.98ms, mfu 34.23%
iter 109: loss 7.4729, time 3080.94ms, mfu 34.22%
iter 110: loss 7.4340, time 3082.67ms, mfu 34.22%
iter 111: loss 7.4883, time 3080.40ms, mfu 34.22%
iter 112: loss 7.4401, time 3083.52ms, mfu 34.22%
iter 113: loss 7.4673, time 3079.67ms, mfu 34.22%
iter 114: loss 7.3612, time 3082.54ms, mfu 34.22%
iter 115: loss 7.3900, time 3083.57ms, mfu 34.21%
iter 116: loss 7.4121, time 3082.95ms, mfu 34.21%
iter 117: loss 7.3826, time 3080.43ms, mfu 34.21%
iter 118: loss 7.3327, time 3081.75ms, mfu 34.21%
iter 119: loss 7.3068, time 3082.89ms, mfu 34.21%
iter 120: loss 7.3919, time 3082.50ms, mfu 34.21%
iter 121: loss 7.2889, time 3081.84ms, mfu 34.21%
iter 122: loss 7.2949, time 3084.34ms, mfu 34.20%
iter 123: loss 7.2878, time 3084.14ms, mfu 34.20%
iter 124: loss 7.3313, time 3084.37ms, mfu 34.20%
iter 125: loss 7.3210, time 3084.35ms, mfu 34.19%
iter 126: loss 7.2960, time 3082.43ms, mfu 34.19%
iter 127: loss 7.1909, time 3085.37ms, mfu 34.19%
iter 128: loss 7.2910, time 3083.90ms, mfu 34.19%
iter 129: loss 7.2648, time 3085.42ms, mfu 34.19%
iter 130: loss 7.2047, time 3083.92ms, mfu 34.19%
iter 131: loss 7.2178, time 3085.75ms, mfu 34.18%
iter 132: loss 7.2043, time 3085.17ms, mfu 34.18%
iter 133: loss 7.2543, time 3084.86ms, mfu 34.18%
iter 134: loss 7.2180, time 3085.21ms, mfu 34.18%
iter 135: loss 7.2055, time 3086.19ms, mfu 34.18%
iter 136: loss 7.0903, time 3085.03ms, mfu 34.17%
