Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
Overriding: n_layer = 3
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 28.92M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 14, with 29,700,096 parameters
num non-decayed parameter tensors: 7, with 5,376 parameters
using fused AdamW: True
step 0: train loss 9.3597, val loss 9.3576
iter 92: loss 7.8155, time 1025.80ms, mfu 31.03%
iter 93: loss 7.8380, time 1026.29ms, mfu 31.03%
iter 94: loss 7.7770, time 1026.71ms, mfu 31.02%
iter 95: loss 7.7835, time 1025.62ms, mfu 31.02%
iter 96: loss 7.8293, time 1026.63ms, mfu 31.01%
iter 97: loss 7.6619, time 1027.08ms, mfu 31.01%
iter 98: loss 7.7179, time 1026.46ms, mfu 31.00%
iter 99: loss 7.6963, time 1028.34ms, mfu 31.00%
iter 100: loss 7.7493, time 1026.38ms, mfu 30.99%
iter 101: loss 7.7527, time 1027.16ms, mfu 30.99%
iter 102: loss 7.7212, time 1029.42ms, mfu 30.98%
iter 103: loss 7.6423, time 1028.67ms, mfu 30.97%
iter 104: loss 7.7285, time 1029.03ms, mfu 30.97%
iter 105: loss 7.6812, time 1029.41ms, mfu 30.96%
iter 106: loss 7.6808, time 1029.29ms, mfu 30.95%
iter 107: loss 7.6088, time 1029.62ms, mfu 30.94%
iter 108: loss 7.6109, time 1029.52ms, mfu 30.94%
iter 109: loss 7.5619, time 1029.88ms, mfu 30.93%
iter 110: loss 7.7127, time 1030.22ms, mfu 30.92%
iter 111: loss 7.7288, time 1030.06ms, mfu 30.92%
iter 112: loss 7.5823, time 1031.37ms, mfu 30.91%
iter 113: loss 7.6406, time 1031.03ms, mfu 30.90%
iter 114: loss 7.5231, time 1031.06ms, mfu 30.90%
iter 115: loss 7.5583, time 1031.11ms, mfu 30.89%
iter 116: loss 7.5027, time 1031.66ms, mfu 30.88%
iter 117: loss 7.5531, time 1031.84ms, mfu 30.88%
iter 118: loss 7.5743, time 1031.90ms, mfu 30.87%
iter 119: loss 7.5236, time 1032.32ms, mfu 30.86%
iter 120: loss 7.5427, time 1032.00ms, mfu 30.86%
iter 121: loss 7.5673, time 1032.33ms, mfu 30.85%
iter 122: loss 7.5021, time 1032.25ms, mfu 30.85%
iter 123: loss 7.3650, time 1032.55ms, mfu 30.84%
iter 124: loss 7.5037, time 1032.94ms, mfu 30.84%
iter 125: loss 7.5499, time 1032.46ms, mfu 30.83%
iter 126: loss 7.4725, time 1031.26ms, mfu 30.83%
iter 127: loss 7.4485, time 1031.60ms, mfu 30.83%
iter 128: loss 7.4728, time 1032.16ms, mfu 30.83%
iter 129: loss 7.4457, time 1032.77ms, mfu 30.82%
iter 130: loss 7.3677, time 1032.34ms, mfu 30.82%
iter 131: loss 7.4016, time 1032.42ms, mfu 30.82%
iter 132: loss 7.4447, time 1032.79ms, mfu 30.82%
iter 133: loss 7.4277, time 1033.63ms, mfu 30.81%
iter 134: loss 7.3033, time 1033.72ms, mfu 30.80%
iter 135: loss 7.3281, time 1033.49ms, mfu 30.80%
iter 136: loss 7.3746, time 1033.31ms, mfu 30.80%
iter 137: loss 7.3708, time 1033.67ms, mfu 30.79%
iter 138: loss 7.3792, time 1033.89ms, mfu 30.79%
iter 139: loss 7.2714, time 1034.44ms, mfu 30.78%
iter 140: loss 7.3825, time 1034.38ms, mfu 30.78%
iter 141: loss 7.2625, time 1034.36ms, mfu 30.78%
iter 142: loss 7.3201, time 1034.62ms, mfu 30.77%
iter 143: loss 7.2914, time 1035.18ms, mfu 30.77%
iter 144: loss 7.1604, time 1034.65ms, mfu 30.76%
iter 145: loss 7.2936, time 1034.86ms, mfu 30.76%
iter 146: loss 7.3732, time 1035.35ms, mfu 30.75%
iter 147: loss 7.2205, time 1034.81ms, mfu 30.75%
iter 148: loss 7.3264, time 1035.73ms, mfu 30.75%
iter 149: loss 7.1894, time 1035.50ms, mfu 30.74%
iter 150: loss 7.1685, time 1035.70ms, mfu 30.74%
iter 151: loss 7.2472, time 1035.93ms, mfu 30.73%
